name,audio_name,audio_path,image_name,image_path,label,predict,confidence,result
01_block1_25_9_TA_1,01_block1_25_9_TA_1.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_25_9_TA_1.wav,01_block1_25_9_TA_1.png,/Users/hela/Code/pata/spectrograms/01_block1_25_9_TA_1.png,,ta,0.9851245880126952,ta
01_block1_26_32_TA_2,01_block1_26_32_TA_2.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_26_32_TA_2.wav,01_block1_26_32_TA_2.png,/Users/hela/Code/pata/spectrograms/01_block1_26_32_TA_2.png,ta,,,ta
01_block1_27_47_TA_3,01_block1_27_47_TA_3.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_27_47_TA_3.wav,01_block1_27_47_TA_3.png,/Users/hela/Code/pata/spectrograms/01_block1_27_47_TA_3.png,ta,,,ta
01_block1_28_63_TA_4,01_block1_28_63_TA_4.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_28_63_TA_4.wav,01_block1_28_63_TA_4.png,/Users/hela/Code/pata/spectrograms/01_block1_28_63_TA_4.png,ta,ta,0.6093832850456238,ta
01_block1_29_27_PA_6,01_block1_29_27_PA_6.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_29_27_PA_6.wav,01_block1_29_27_PA_6.png,/Users/hela/Code/pata/spectrograms/01_block1_29_27_PA_6.png,,pa,0.9870007038116456,pa
01_block1_2_1_TA_2,01_block1_2_1_TA_2.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_2_1_TA_2.wav,01_block1_2_1_TA_2.png,/Users/hela/Code/pata/spectrograms/01_block1_2_1_TA_2.png,ta,,,ta
01_block1_30_75_PA_7,01_block1_30_75_PA_7.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_30_75_PA_7.wav,01_block1_30_75_PA_7.png,/Users/hela/Code/pata/spectrograms/01_block1_30_75_PA_7.png,,pa,0.9647756814956664,pa
01_block1_31_39_PA_8,01_block1_31_39_PA_8.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_31_39_PA_8.wav,01_block1_31_39_PA_8.png,/Users/hela/Code/pata/spectrograms/01_block1_31_39_PA_8.png,,pa,0.996265470981598,pa
01_block1_32_51_PA_9,01_block1_32_51_PA_9.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_32_51_PA_9.wav,01_block1_32_51_PA_9.png,/Users/hela/Code/pata/spectrograms/01_block1_32_51_PA_9.png,,pa,0.9824908375740052,pa
01_block1_33_42_TA_1,01_block1_33_42_TA_1.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_33_42_TA_1.wav,01_block1_33_42_TA_1.png,/Users/hela/Code/pata/spectrograms/01_block1_33_42_TA_1.png,ta,ta,0.9580208659172058,ta
01_block1_34_71_TA_2,01_block1_34_71_TA_2.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_34_71_TA_2.wav,01_block1_34_71_TA_2.png,/Users/hela/Code/pata/spectrograms/01_block1_34_71_TA_2.png,ta,ta,0.7000539302825928,ta
01_block1_35_28_TA_3,01_block1_35_28_TA_3.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_35_28_TA_3.wav,01_block1_35_28_TA_3.png,/Users/hela/Code/pata/spectrograms/01_block1_35_28_TA_3.png,ta,,,ta
01_block1_36_53_TA_4,01_block1_36_53_TA_4.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_36_53_TA_4.wav,01_block1_36_53_TA_4.png,/Users/hela/Code/pata/spectrograms/01_block1_36_53_TA_4.png,ta,ta,0.8665768504142761,ta
01_block1_37_61_PA_6,01_block1_37_61_PA_6.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_37_61_PA_6.wav,01_block1_37_61_PA_6.png,/Users/hela/Code/pata/spectrograms/01_block1_37_61_PA_6.png,,pa,0.9857330322265624,pa
01_block1_38_5_PA_7,01_block1_38_5_PA_7.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_38_5_PA_7.wav,01_block1_38_5_PA_7.png,/Users/hela/Code/pata/spectrograms/01_block1_38_5_PA_7.png,,pa,0.9854140281677246,pa
01_block1_39_15_PA_8,01_block1_39_15_PA_8.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_39_15_PA_8.wav,01_block1_39_15_PA_8.png,/Users/hela/Code/pata/spectrograms/01_block1_39_15_PA_8.png,,pa,0.989548921585083,pa
01_block1_3_24_TA_3,01_block1_3_24_TA_3.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_3_24_TA_3.wav,01_block1_3_24_TA_3.png,/Users/hela/Code/pata/spectrograms/01_block1_3_24_TA_3.png,ta,ta,0.8637319803237915,ta
01_block1_40_59_PA_9,01_block1_40_59_PA_9.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_40_59_PA_9.wav,01_block1_40_59_PA_9.png,/Users/hela/Code/pata/spectrograms/01_block1_40_59_PA_9.png,,pa,0.9697446227073668,pa
01_block1_41_54_TA_1,01_block1_41_54_TA_1.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_41_54_TA_1.wav,01_block1_41_54_TA_1.png,/Users/hela/Code/pata/spectrograms/01_block1_41_54_TA_1.png,ta,ta,0.9509577751159668,ta
01_block1_42_45_TA_2,01_block1_42_45_TA_2.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_42_45_TA_2.wav,01_block1_42_45_TA_2.png,/Users/hela/Code/pata/spectrograms/01_block1_42_45_TA_2.png,ta,,,ta
01_block1_43_7_TA_3,01_block1_43_7_TA_3.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_43_7_TA_3.wav,01_block1_43_7_TA_3.png,/Users/hela/Code/pata/spectrograms/01_block1_43_7_TA_3.png,ta,ta,0.945698618888855,ta
01_block1_44_25_TA_4,01_block1_44_25_TA_4.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_44_25_TA_4.wav,01_block1_44_25_TA_4.png,/Users/hela/Code/pata/spectrograms/01_block1_44_25_TA_4.png,ta,pa,0.5278909206390381,ta
01_block1_45_58_PA_6,01_block1_45_58_PA_6.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_45_58_PA_6.wav,01_block1_45_58_PA_6.png,/Users/hela/Code/pata/spectrograms/01_block1_45_58_PA_6.png,pa,pa,0.9508649110794068,pa
01_block1_46_74_PA_7,01_block1_46_74_PA_7.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_46_74_PA_7.wav,01_block1_46_74_PA_7.png,/Users/hela/Code/pata/spectrograms/01_block1_46_74_PA_7.png,,pa,0.9702258706092834,pa
01_block1_47_33_PA_8,01_block1_47_33_PA_8.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_47_33_PA_8.wav,01_block1_47_33_PA_8.png,/Users/hela/Code/pata/spectrograms/01_block1_47_33_PA_8.png,pa,,,pa
01_block1_48_76_PA_9,01_block1_48_76_PA_9.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_48_76_PA_9.wav,01_block1_48_76_PA_9.png,/Users/hela/Code/pata/spectrograms/01_block1_48_76_PA_9.png,,pa,0.9924537539482116,pa
01_block1_49_21_TA_1,01_block1_49_21_TA_1.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_49_21_TA_1.wav,01_block1_49_21_TA_1.png,/Users/hela/Code/pata/spectrograms/01_block1_49_21_TA_1.png,ta,,,ta
01_block1_4_2_TA_4,01_block1_4_2_TA_4.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_4_2_TA_4.wav,01_block1_4_2_TA_4.png,/Users/hela/Code/pata/spectrograms/01_block1_4_2_TA_4.png,,ta,0.985740602016449,ta
01_block1_50_36_TA_2,01_block1_50_36_TA_2.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_50_36_TA_2.wav,01_block1_50_36_TA_2.png,/Users/hela/Code/pata/spectrograms/01_block1_50_36_TA_2.png,ta,,,ta
01_block1_51_37_TA_3,01_block1_51_37_TA_3.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_51_37_TA_3.wav,01_block1_51_37_TA_3.png,/Users/hela/Code/pata/spectrograms/01_block1_51_37_TA_3.png,ta,ta,0.8918752074241638,ta
01_block1_52_12_TA_4,01_block1_52_12_TA_4.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_52_12_TA_4.wav,01_block1_52_12_TA_4.png,/Users/hela/Code/pata/spectrograms/01_block1_52_12_TA_4.png,,ta,0.97215735912323,ta
01_block1_53_48_PA_6,01_block1_53_48_PA_6.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_53_48_PA_6.wav,01_block1_53_48_PA_6.png,/Users/hela/Code/pata/spectrograms/01_block1_53_48_PA_6.png,,pa,0.9938926696777344,pa
01_block1_54_19_PA_7,01_block1_54_19_PA_7.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_54_19_PA_7.wav,01_block1_54_19_PA_7.png,/Users/hela/Code/pata/spectrograms/01_block1_54_19_PA_7.png,pa,,,pa
01_block1_55_77_PA_8,01_block1_55_77_PA_8.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_55_77_PA_8.wav,01_block1_55_77_PA_8.png,/Users/hela/Code/pata/spectrograms/01_block1_55_77_PA_8.png,pa,pa,0.90421062707901,pa
01_block1_56_65_PA_9,01_block1_56_65_PA_9.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_56_65_PA_9.wav,01_block1_56_65_PA_9.png,/Users/hela/Code/pata/spectrograms/01_block1_56_65_PA_9.png,,pa,0.983892560005188,pa
01_block1_57_35_TA_1,01_block1_57_35_TA_1.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_57_35_TA_1.wav,01_block1_57_35_TA_1.png,/Users/hela/Code/pata/spectrograms/01_block1_57_35_TA_1.png,ta,ta,0.9340351819992064,ta
01_block1_58_44_TA_2,01_block1_58_44_TA_2.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_58_44_TA_2.wav,01_block1_58_44_TA_2.png,/Users/hela/Code/pata/spectrograms/01_block1_58_44_TA_2.png,ta,,,ta
01_block1_59_34_TA_3,01_block1_59_34_TA_3.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_59_34_TA_3.wav,01_block1_59_34_TA_3.png,/Users/hela/Code/pata/spectrograms/01_block1_59_34_TA_3.png,ta,,,ta
01_block1_5_57_PA_6,01_block1_5_57_PA_6.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_5_57_PA_6.wav,01_block1_5_57_PA_6.png,/Users/hela/Code/pata/spectrograms/01_block1_5_57_PA_6.png,pa,,,pa
01_block1_60_70_TA_4,01_block1_60_70_TA_4.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_60_70_TA_4.wav,01_block1_60_70_TA_4.png,/Users/hela/Code/pata/spectrograms/01_block1_60_70_TA_4.png,ta,ta,0.9429152607917786,ta
01_block1_61_46_PA_6,01_block1_61_46_PA_6.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_61_46_PA_6.wav,01_block1_61_46_PA_6.png,/Users/hela/Code/pata/spectrograms/01_block1_61_46_PA_6.png,,pa,0.9901856184005736,pa
01_block1_62_79_PA_7,01_block1_62_79_PA_7.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_62_79_PA_7.wav,01_block1_62_79_PA_7.png,/Users/hela/Code/pata/spectrograms/01_block1_62_79_PA_7.png,,pa,0.9759765267372132,pa
01_block1_63_43_PA_8,01_block1_63_43_PA_8.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_63_43_PA_8.wav,01_block1_63_43_PA_8.png,/Users/hela/Code/pata/spectrograms/01_block1_63_43_PA_8.png,pa,pa,0.9407233595848083,pa
01_block1_64_3_PA_9,01_block1_64_3_PA_9.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_64_3_PA_9.wav,01_block1_64_3_PA_9.png,/Users/hela/Code/pata/spectrograms/01_block1_64_3_PA_9.png,,pa,0.992095947265625,pa
01_block1_65_18_TA_1,01_block1_65_18_TA_1.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_65_18_TA_1.wav,01_block1_65_18_TA_1.png,/Users/hela/Code/pata/spectrograms/01_block1_65_18_TA_1.png,,ta,0.9815123081207277,ta
01_block1_66_31_TA_2,01_block1_66_31_TA_2.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_66_31_TA_2.wav,01_block1_66_31_TA_2.png,/Users/hela/Code/pata/spectrograms/01_block1_66_31_TA_2.png,ta,,,ta
01_block1_67_26_TA_3,01_block1_67_26_TA_3.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_67_26_TA_3.wav,01_block1_67_26_TA_3.png,/Users/hela/Code/pata/spectrograms/01_block1_67_26_TA_3.png,ta,,,ta
01_block1_68_16_TA_4,01_block1_68_16_TA_4.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_68_16_TA_4.wav,01_block1_68_16_TA_4.png,/Users/hela/Code/pata/spectrograms/01_block1_68_16_TA_4.png,,ta,0.994838535785675,ta
01_block1_69_10_PA_6,01_block1_69_10_PA_6.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_69_10_PA_6.wav,01_block1_69_10_PA_6.png,/Users/hela/Code/pata/spectrograms/01_block1_69_10_PA_6.png,pa,,,pa
01_block1_6_8_PA_7,01_block1_6_8_PA_7.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_6_8_PA_7.wav,01_block1_6_8_PA_7.png,/Users/hela/Code/pata/spectrograms/01_block1_6_8_PA_7.png,,pa,0.9942546486854552,pa
01_block1_70_73_PA_7,01_block1_70_73_PA_7.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_70_73_PA_7.wav,01_block1_70_73_PA_7.png,/Users/hela/Code/pata/spectrograms/01_block1_70_73_PA_7.png,ta,,,ta
01_block1_71_72_PA_8,01_block1_71_72_PA_8.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_71_72_PA_8.wav,01_block1_71_72_PA_8.png,/Users/hela/Code/pata/spectrograms/01_block1_71_72_PA_8.png,,pa,0.987147092819214,pa
01_block1_72_11_PA_9,01_block1_72_11_PA_9.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_72_11_PA_9.wav,01_block1_72_11_PA_9.png,/Users/hela/Code/pata/spectrograms/01_block1_72_11_PA_9.png,,pa,0.97077876329422,pa
01_block1_73_68_TA_1,01_block1_73_68_TA_1.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_73_68_TA_1.wav,01_block1_73_68_TA_1.png,/Users/hela/Code/pata/spectrograms/01_block1_73_68_TA_1.png,ta,,,ta
01_block1_74_50_TA_2,01_block1_74_50_TA_2.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_74_50_TA_2.wav,01_block1_74_50_TA_2.png,/Users/hela/Code/pata/spectrograms/01_block1_74_50_TA_2.png,ta,pa,0.6545057892799377,ta
01_block1_75_41_TA_3,01_block1_75_41_TA_3.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_75_41_TA_3.wav,01_block1_75_41_TA_3.png,/Users/hela/Code/pata/spectrograms/01_block1_75_41_TA_3.png,ta,,,ta
01_block1_76_60_TA_4,01_block1_76_60_TA_4.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_76_60_TA_4.wav,01_block1_76_60_TA_4.png,/Users/hela/Code/pata/spectrograms/01_block1_76_60_TA_4.png,ta,,,ta
01_block1_77_23_PA_6,01_block1_77_23_PA_6.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_77_23_PA_6.wav,01_block1_77_23_PA_6.png,/Users/hela/Code/pata/spectrograms/01_block1_77_23_PA_6.png,pa,,,pa
01_block1_78_29_PA_7,01_block1_78_29_PA_7.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_78_29_PA_7.wav,01_block1_78_29_PA_7.png,/Users/hela/Code/pata/spectrograms/01_block1_78_29_PA_7.png,pa,,,pa
01_block1_79_69_PA_8,01_block1_79_69_PA_8.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_79_69_PA_8.wav,01_block1_79_69_PA_8.png,/Users/hela/Code/pata/spectrograms/01_block1_79_69_PA_8.png,pa,,,pa
01_block1_7_38_PA_8,01_block1_7_38_PA_8.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_7_38_PA_8.wav,01_block1_7_38_PA_8.png,/Users/hela/Code/pata/spectrograms/01_block1_7_38_PA_8.png,pa,,,pa
01_block1_80_6_PA_9,01_block1_80_6_PA_9.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_80_6_PA_9.wav,01_block1_80_6_PA_9.png,/Users/hela/Code/pata/spectrograms/01_block1_80_6_PA_9.png,,pa,0.9838804602622986,pa
01_block1_8_30_PA_9,01_block1_8_30_PA_9.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_8_30_PA_9.wav,01_block1_8_30_PA_9.png,/Users/hela/Code/pata/spectrograms/01_block1_8_30_PA_9.png,pa,pa,0.9400193691253662,pa
01_block1_9_52_TA_1,01_block1_9_52_TA_1.wav,/Users/hela/Code/pata/Audio_data/01/01_block1_9_52_TA_1.wav,01_block1_9_52_TA_1.png,/Users/hela/Code/pata/spectrograms/01_block1_9_52_TA_1.png,,ta,0.9766427278518676,ta
01_block2_10_142_PA_2,01_block2_10_142_PA_2.wav,/Users/hela/Code/pata/Audio_data/01/01_block2_10_142_PA_2.wav,01_block2_10_142_PA_2.png,/Users/hela/Code/pata/spectrograms/01_block2_10_142_PA_2.png,,pa,0.9873102903366088,pa
01_block2_11_147_PA_3,01_block2_11_147_PA_3.wav,/Users/hela/Code/pata/Audio_data/01/01_block2_11_147_PA_3.wav,01_block2_11_147_PA_3.png,/Users/hela/Code/pata/spectrograms/01_block2_11_147_PA_3.png,,pa,0.9954255223274232,pa
01_block2_12_151_PA_4,01_block2_12_151_PA_4.wav,/Users/hela/Code/pata/Audio_data/01/01_block2_12_151_PA_4.wav,01_block2_12_151_PA_4.png,/Users/hela/Code/pata/spectrograms/01_block2_12_151_PA_4.png,,pa,0.996126353740692,pa
01_block2_13_116_TA_6,01_block2_13_116_TA_6.wav,/Users/hela/Code/pata/Audio_data/01/01_block2_13_116_TA_6.wav,01_block2_13_116_TA_6.png,/Users/hela/Code/pata/spectrograms/01_block2_13_116_TA_6.png,ta,,,ta
01_block2_14_134_TA_7,01_block2_14_134_TA_7.wav,/Users/hela/Code/pata/Audio_data/01/01_block2_14_134_TA_7.wav,01_block2_14_134_TA_7.png,/Users/hela/Code/pata/spectrograms/01_block2_14_134_TA_7.png,ta,ta,0.7102128267288208,ta
01_block2_15_115_TA_8,01_block2_15_115_TA_8.wav,/Users/hela/Code/pata/Audio_data/01/01_block2_15_115_TA_8.wav,01_block2_15_115_TA_8.png,/Users/hela/Code/pata/spectrograms/01_block2_15_115_TA_8.png,,ta,0.9877994060516356,ta
01_block2_16_125_TA_9,01_block2_16_125_TA_9.wav,/Users/hela/Code/pata/Audio_data/01/01_block2_16_125_TA_9.wav,01_block2_16_125_TA_9.png,/Users/hela/Code/pata/spectrograms/01_block2_16_125_TA_9.png,ta,,,ta
01_block2_17_123_PA_1,01_block2_17_123_PA_1.wav,/Users/hela/Code/pata/Audio_data/01/01_block2_17_123_PA_1.wav,01_block2_17_123_PA_1.png,/Users/hela/Code/pata/spectrograms/01_block2_17_123_PA_1.png,,pa,0.9953082203865052,pa
01_block2_18_157_PA_2,01_block2_18_157_PA_2.wav,/Users/hela/Code/pata/Audio_data/01/01_block2_18_157_PA_2.wav,01_block2_18_157_PA_2.png,/Users/hela/Code/pata/spectrograms/01_block2_18_157_PA_2.png,,pa,0.9876800775527954,pa
01_block2_19_97_PA_3,01_block2_19_97_PA_3.wav,/Users/hela/Code/pata/Audio_data/01/01_block2_19_97_PA_3.wav,01_block2_19_97_PA_3.png,/Users/hela/Code/pata/spectrograms/01_block2_19_97_PA_3.png,pa,,,pa
01_block2_1_149_PA_1,01_block2_1_149_PA_1.wav,/Users/hela/Code/pata/Audio_data/01/01_block2_1_149_PA_1.wav,01_block2_1_149_PA_1.png,/Users/hela/Code/pata/spectrograms/01_block2_1_149_PA_1.png,pa,,,pa
01_block2_20_110_PA_4,01_block2_20_110_PA_4.wav,/Users/hela/Code/pata/Audio_data/01/01_block2_20_110_PA_4.wav,01_block2_20_110_PA_4.png,/Users/hela/Code/pata/spectrograms/01_block2_20_110_PA_4.png,,pa,0.9916321635246276,pa
01_block2_21_143_TA_6,01_block2_21_143_TA_6.wav,/Users/hela/Code/pata/Audio_data/01/01_block2_21_143_TA_6.wav,01_block2_21_143_TA_6.png,/Users/hela/Code/pata/spectrograms/01_block2_21_143_TA_6.png,ta,,,ta
01_block2_22_88_TA_7,01_block2_22_88_TA_7.wav,/Users/hela/Code/pata/Audio_data/01/01_block2_22_88_TA_7.wav,01_block2_22_88_TA_7.png,/Users/hela/Code/pata/spectrograms/01_block2_22_88_TA_7.png,,ta,0.9796682000160216,ta
01_block2_23_158_TA_8,01_block2_23_158_TA_8.wav,/Users/hela/Code/pata/Audio_data/01/01_block2_23_158_TA_8.wav,01_block2_23_158_TA_8.png,/Users/hela/Code/pata/spectrograms/01_block2_23_158_TA_8.png,ta,pa,0.9175920486450196,ta
01_block2_24_107_TA_9,01_block2_24_107_TA_9.wav,/Users/hela/Code/pata/Audio_data/01/01_block2_24_107_TA_9.wav,01_block2_24_107_TA_9.png,/Users/hela/Code/pata/spectrograms/01_block2_24_107_TA_9.png,ta,ta,0.9490437507629396,ta
01_block2_25_130_PA_1,01_block2_25_130_PA_1.wav,/Users/hela/Code/pata/Audio_data/01/01_block2_25_130_PA_1.wav,01_block2_25_130_PA_1.png,/Users/hela/Code/pata/spectrograms/01_block2_25_130_PA_1.png,,pa,0.9876963496208192,pa
01_block2_26_99_PA_2,01_block2_26_99_PA_2.wav,/Users/hela/Code/pata/Audio_data/01/01_block2_26_99_PA_2.wav,01_block2_26_99_PA_2.png,/Users/hela/Code/pata/spectrograms/01_block2_26_99_PA_2.png,,pa,0.9907258152961732,pa
01_block2_27_90_PA_3,01_block2_27_90_PA_3.wav,/Users/hela/Code/pata/Audio_data/01/01_block2_27_90_PA_3.wav,01_block2_27_90_PA_3.png,/Users/hela/Code/pata/spectrograms/01_block2_27_90_PA_3.png,,pa,0.9888052940368652,pa
01_block2_28_109_PA_4,01_block2_28_109_PA_4.wav,/Users/hela/Code/pata/Audio_data/01/01_block2_28_109_PA_4.wav,01_block2_28_109_PA_4.png,/Users/hela/Code/pata/spectrograms/01_block2_28_109_PA_4.png,,pa,0.976807177066803,pa
01_block2_29_108_TA_6,01_block2_29_108_TA_6.wav,/Users/hela/Code/pata/Audio_data/01/01_block2_29_108_TA_6.wav,01_block2_29_108_TA_6.png,/Users/hela/Code/pata/spectrograms/01_block2_29_108_TA_6.png,ta,,,ta
01_block2_2_132_PA_2,01_block2_2_132_PA_2.wav,/Users/hela/Code/pata/Audio_data/01/01_block2_2_132_PA_2.wav,01_block2_2_132_PA_2.png,/Users/hela/Code/pata/spectrograms/01_block2_2_132_PA_2.png,pa,,,pa
01_block2_30_139_TA_7,01_block2_30_139_TA_7.wav,/Users/hela/Code/pata/Audio_data/01/01_block2_30_139_TA_7.wav,01_block2_30_139_TA_7.png,/Users/hela/Code/pata/spectrograms/01_block2_30_139_TA_7.png,ta,ta,0.6089274883270264,ta
01_block2_31_126_TA_8,01_block2_31_126_TA_8.wav,/Users/hela/Code/pata/Audio_data/01/01_block2_31_126_TA_8.wav,01_block2_31_126_TA_8.png,/Users/hela/Code/pata/spectrograms/01_block2_31_126_TA_8.png,ta,,,ta
